Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C002,Microsoft,Software Development,10000,J009,0,NULL,Uttar Pradesh,Product Manager Internship Opportunity for University Graduates,D111,Internship,Internship,6
C002,Microsoft,Software Development,10000,J011,0,NULL,Uttarakhand,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C224,PRO Unlimited,Software Development,1001,J019,0,Vadodara,Gujarat,Quality Assurance Engineer,D030,Full-time,Entry level,NULL
C002,Microsoft,Software Development,10000,J053,0,NULL,West Bengal,Product Manager Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J076,0,NULL,West Bengal,Product Manager Internship Opportunity for University Graduates,D105,Internship,Internship,16
C066,Applied Materials,Semiconductor Manufacturing,10000,J078,324976,Bengaluru,Karnataka,Data Scientist,D004,Full-time,NULL,NULL
C251,CaratLane - A Tanishq Partnership,Retail Luxury Goods and Jewelry,501,J095,48587,Mumbai,Maharashtra,Head of Revenue Operations,D088,Full-time,Mid-Senior level,166
C228,Target,Retail,10000,J096,0,Bengaluru,Karnataka,Associate Planner-3,D030,Full-time,Entry level,NULL
C228,Target,Retail,10000,J104,0,Bengaluru,Karnataka,Sr Benefits Business Partner,D091,Full-time,Mid-Senior level,38
C228,Target,Retail,10000,J114,0,Bengaluru,Karnataka,Associate Planner-3,D040,Full-time,Entry level,25
C245,Starbucks India,Retail,1001,J131,0,Delhi,Delhi,Shift Supervisor,D084,Full-time,Mid-Senior level,NULL
C233,Grupo Muffato,Retail,10000,J132,0,Imamganj,Bihar,Assistente de Marketing-031CAMBE,D030,Full-time,Entry level,NULL
C204,Comercial Ivaiporã,Retail,501,J136,0,Kalyanpur,Bihar,Encarregado Depsito,D084,Full-time,Mid-Senior level,NULL
C137,UniAcco,Real Estate,201,J137,0,Mumbai,Maharashtra,Senior Front End Developer,D093,Full-time,Mid-Senior level,45
C323,Tata Housing Development Company Limited,Real Estate,501,J138,175631,Mumbai,Maharashtra,General Manager - Sales Strategy,D084,Full-time,Mid-Senior level,NULL
C054,PwC,Professional Services,10000,J158,4523008,Bengaluru,Karnataka,Manager of Machine Learning,D028,Full-time,Director,NULL
C236,Grupo Copobras,Plastics Manufacturing,1001,J167,0,Kalyanpur,Bihar,Operador de Impressora Flexografica,D030,Full-time,Entry level,NULL
C183,AUROBINDO PHARMA LTD,Pharmaceutical Manufacturing,10000,J169,0,Hyderabad,Telangana,Assistant - QC,D030,Full-time,Entry level,NULL
C183,AUROBINDO PHARMA LTD,Pharmaceutical Manufacturing,10000,J174,0,Hyderabad,Telangana,Assistant - QC,D052,Full-time,Entry level,98
C006,Indegene,Pharmaceutical Manufacturing,5001,J176,0,NULL,India,Data Scientist,D084,Full-time,Mid-Senior level,NULL
C139,Koch Business Solutions India,Oil and Gas,1001,J177,25585,Bengaluru,Karnataka,GL Subject Matter Expert,D022,Full-time,Associate,5
C197,Oil and Gas,Oil and Gas,1,J178,0,Delhi,Delhi,STORE KEEPER,D030,Full-time,Entry level,NULL
C197,Oil and Gas,Oil and Gas,1,J179,0,Delhi,Delhi,STORE KEEPER,D041,Full-time,Entry level,4
C211,CITGO,Oil and Gas,1001,J180,0,Gariaband,Chhattisgarh,Customer Service Specialist,D030,Full-time,Entry level,NULL
C209,Grupo Aldo,Oil and Gas,1001,J201,0,Kalyanpur,Bihar,Frentista em Paran,D030,Full-time,Entry level,NULL
C016,Mercedes-Benz Research and Development India,Motor Vehicle Manufacturing,1001,J202,0,Bangalore Urban,Karnataka,Data Scientist,D008,Full-time,Associate,NULL
